uid,domainID,siteID,namedLocation,laboratoryName,sequencingFacilityID,startDate,endDate,sequencerRunID,dnaSampleID,dnaSampleCode,internalLabID,rawDataFileName,rawDataFileDescription,rawDataFilePath,remarks,dataQF
5e5edfd0-b21f-423f-9adc-a6112132ac67,D04,GUAN,GUAN_002.basePlot.bgc,Battelle Applied Genomics,Battelle Memorial Institute,2019-09-30T12:10Z,2019-09-30T13:25Z,HHGLLBGXH,GUAN_002-M-20190930-COMP-DNA1,,19S_31_2891,BMI_HHGLLBGXH_Plate19S_31WellH9_R1.fastq.gz,R1 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HHGLLBGXH_mms_R1/BMI_HHGLLBGXH_Plate19S_31WellH9_R1.fastq.gz,,
0a2a9c9e-ab11-4dd3-aa90-7b9c7cd2c637,D04,GUAN,GUAN_002.basePlot.bgc,Battelle Applied Genomics,Battelle Memorial Institute,2019-09-30T12:10Z,2019-09-30T13:25Z,HHGLLBGXH,GUAN_002-M-20190930-COMP-DNA1,,19S_31_2891,BMI_HHGLLBGXH_Plate19S_31WellH9_R2.fastq.gz,R2 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HHGLLBGXH_mms_R2/BMI_HHGLLBGXH_Plate19S_31WellH9_R2.fastq.gz,,
28d73934-dc34-42d3-a18f-892b0eac5248,D04,GUAN,GUAN_001.basePlot.bgc,Battelle Applied Genomics,Battelle Memorial Institute,2019-09-30T16:00Z,2019-09-30T17:05Z,HHGLLBGXH,GUAN_001-M-20190930-COMP-DNA1,,19S_31_2890,BMI_HHGLLBGXH_Plate19S_31WellG9_R2.fastq.gz,R2 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HHGLLBGXH_mms_R2/BMI_HHGLLBGXH_Plate19S_31WellG9_R2.fastq.gz,,
3666b6fc-ee3f-494e-bf99-a018fdd17c70,D04,GUAN,GUAN_001.basePlot.bgc,Battelle Applied Genomics,Battelle Memorial Institute,2019-09-30T16:00Z,2019-09-30T17:05Z,HHGLLBGXH,GUAN_001-M-20190930-COMP-DNA1,,19S_31_2890,BMI_HHGLLBGXH_Plate19S_31WellG9_R1.fastq.gz,R1 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HHGLLBGXH_mms_R1/BMI_HHGLLBGXH_Plate19S_31WellG9_R1.fastq.gz,,
c3722cce-7b88-4a62-9fb7-1cb9253ae0a9,D04,GUAN,GUAN_007.basePlot.bgc,Battelle Applied Genomics,Battelle Memorial Institute,2019-09-30T17:20Z,2019-09-30T18:15Z,HHGLLBGXH,GUAN_007-M-20190930-COMP-DNA1,,19S_31_2895,BMI_HHGLLBGXH_Plate19S_31WellD10_R1.fastq.gz,R1 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HHGLLBGXH_mms_R1/BMI_HHGLLBGXH_Plate19S_31WellD10_R1.fastq.gz,,
b236b8c5-b55f-4868-b230-5f1cf8339d84,D04,GUAN,GUAN_007.basePlot.bgc,Battelle Applied Genomics,Battelle Memorial Institute,2019-09-30T17:20Z,2019-09-30T18:15Z,HHGLLBGXH,GUAN_007-M-20190930-COMP-DNA1,,19S_31_2895,BMI_HHGLLBGXH_Plate19S_31WellD10_R2.fastq.gz,R2 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HHGLLBGXH_mms_R2/BMI_HHGLLBGXH_Plate19S_31WellD10_R2.fastq.gz,,
a313c6a5-c135-41a3-945c-438c44db59a5,D09,WOOD,WOOD_003.basePlot.bgc,Argonne National Laboratory,Argonne National Laboratory,2014-07-02T14:22Z,2014-07-02T14:58Z,run20150603,WOOD_003-M-20140702-COMP-DNA1,,,WOOD_003-M-20140702-comp-Sequences.zip,R1 and R2 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/ANL_mms_run20150603/WOOD_003-M-20140702-comp-Sequences.zip,,legacyData
fbc03814-bc33-4f26-9cdd-aff7673736f3,D09,WOOD,WOOD_001.basePlot.bgc,Argonne National Laboratory,Argonne National Laboratory,2014-07-02T16:05Z,2014-07-02T17:00Z,run20150603,WOOD_001-M-20140702-COMP-DNA1,,,WOOD_001-M-20140702-comp-Sequences.zip,R1 and R2 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/ANL_mms_run20150603/WOOD_001-M-20140702-comp-Sequences.zip,,legacyData
9fe4c020-b949-40af-8473-56a95e26a1b3,D09,WOOD,WOOD_002.basePlot.bgc,Argonne National Laboratory,Argonne National Laboratory,2014-07-02T19:05Z,2014-07-02T19:29Z,run20150603,WOOD_002-M-20140702-COMP-DNA1,,,WOOD_002-M-20140702-comp-Sequences.zip,R1 and R2 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/ANL_mms_run20150603/WOOD_002-M-20140702-comp-Sequences.zip,,legacyData
01255624-c4d0-4bae-a2d4-34191ba1078e,D07,MLBS,MLBS_005.basePlot.bgc,Battelle Applied Genomics,Battelle Memorial Institute,2018-06-11T20:27Z,2018-06-11T21:26Z,HWVCMBGX7,MLBS_005-O-20180611-COMP-DNA1,,18S_05_0377,BMI_HWVCMBGX7_R2_C.fastq.tar.gz,R2 metagenomic archive of fastq files,https://storage.neonscience.org/neon-microbial-raw-seq-files/2019/BMI_HWVCMBGX7_R2_C.fastq.tar.gz,,
